codDaneDpto;Dpto;codDaneMunicipio;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;nombreCientificoCultivo;codCultivo;estadoFisicoCultivo
15;Boyacá;15646;Samacá;Maíz tradicional;Maíz;Transitorio;Cereales;Cereales;2020;A;230.0;230.0;276.0;1.2;Zea mays;1010497;En fresco
15;Boyacá;15646;Samacá;Maíz tradicional;Maíz;Transitorio;Cereales;Cereales;2020;B;190.0;190.0;247.0;1.3;Zea mays;1010497;En fresco
15;Boyacá;15646;Samacá;Otras hortalizas;Otras hortalizas;Transitorio;Hortalizas;Hortalizas;2019;A;3.0;3.0;18.0;6.0;No aplica;1059900;En fresco
15;Boyacá;15646;Samacá;Otras hortalizas;Otras hortalizas;Transitorio;Hortalizas;Hortalizas;2020;A;3.0;3.0;18.0;6.0;No aplica;1059900;En fresco
15;Boyacá;15646;Samacá;Otras hortalizas;Otras hortalizas;Transitorio;Hortalizas;Hortalizas;2021;A;3.0;2.5;50.0;20.0;No aplica;1059900;En fresco
15;Boyacá;15646;Samacá;Otras hortalizas;Otras hortalizas;Transitorio;Hortalizas;Hortalizas;2022;A;3.0;2.95;59.0;20.0;No aplica;1059900;En fresco
15;Boyacá;15646;Samacá;Otras hortalizas;Otras hortalizas;Transitorio;Hortalizas;Hortalizas;2023;A;3.0;2.5;45.0;18.0;No aplica;1059900;En fresco
15;Boyacá;15646;Samacá;Papa todas las variedades;Papa;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2019;A;700.0;700.0;26600.0;38.0;Solanum tuberosum;1080701;En fresco
15;Boyacá;15646;Samacá;Papa todas las variedades;Papa;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2019;B;1050.0;1050.0;30450.0;29.0;Solanum tuberosum;1080701;En fresco
15;Boyacá;15646;Samacá;Papa todas las variedades;Papa;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2020;A;500.0;500.0;13500.0;27.0;Solanum tuberosum;1080701;En fresco
15;Boyacá;15646;Samacá;Papa todas las variedades;Papa;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2020;B;850.0;850.0;22950.0;27.0;Solanum tuberosum;1080701;En fresco
15;Boyacá;15646;Samacá;Papa todas las variedades;Papa;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2021;A;661.98;628.63;16878.78;26.85;Solanum tuberosum;1080701;En fresco
15;Boyacá;15646;Samacá;Papa todas las variedades;Papa;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2021;B;700.0;665.0;17855.0;26.85;Solanum tuberosum;1080701;En fresco
15;Boyacá;15646;Samacá;Papa todas las variedades;Papa;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2022;A;903.0;901.0;24191.85;26.85;Solanum tuberosum;1080701;En fresco
15;Boyacá;15646;Samacá;Papa todas las variedades;Papa;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2022;B;800.0;720.0;18720.0;26.0;Solanum tuberosum;1080701;En fresco
15;Boyacá;15646;Samacá;Papa todas las variedades;Papa;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2023;A;880.0;958.0;22992.0;24.0;Solanum tuberosum;1080701;En fresco
15;Boyacá;15646;Samacá;Papa todas las variedades;Papa;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2023;B;900.0;500.0;12000.0;24.0;Solanum tuberosum;1080701;En fresco
15;Boyacá;15646;Samacá;Remolacha;Remolacha;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;54.0;53.0;901.0;17.0;Beta vulgaris;1052700;En fresco
15;Boyacá;15646;Samacá;Remolacha;Remolacha;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;30.0;30.0;300.0;10.0;Beta vulgaris;1052700;En fresco
15;Boyacá;15646;Samacá;Remolacha;Remolacha;Transitorio;Hortalizas;Hortalizas de raíz;2020;A;25.0;25.0;275.0;11.0;Beta vulgaris;1052700;En fresco
15;Boyacá;15646;Samacá;Remolacha;Remolacha;Transitorio;Hortalizas;Hortalizas de raíz;2020;B;25.0;25.0;325.0;13.0;Beta vulgaris;1052700;En fresco
